Ammo TeamA:RandomBot 10
Ammo TeamA:Bot1 10
Ammo TeamA:Bot0 10
Ammo TeamA:Bot1 9
Ammo TeamA:Bot0 9
Ammo TeamA:Bot0 8
Ammo TeamA:Bot1 8
Ammo TeamA:Bot0 7
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 7
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot0 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot0 6
Ammo TeamA:Bot1 7
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 7
Ammo TeamA:Bot0 0
Ammo TeamA:Bot1 7
Ammo TeamA:Bot1 7
Ammo TeamA:Bot1 0
Ammo TeamA:Bot1 0
Ammo TeamA:Bot1 0
